OBJECTID,statefp,countyfp,tractce,affgeoid,geoid,name,COUNTY,StateAbbr,StateDesc,Location,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,SPL_EBM_THEME1,RPL_EBM_DOM1,EPL_NPL,EPL_TRI,EPL_TSD,EPL_RMP,EPL_COAL,EPL_LEAD,SPL_EBM_THEME2,RPL_EBM_DOM2,EPL_PARK,EPL_HOUAGE,EPL_WLKIND,SPL_EBM_THEME3,RPL_EBM_DOM3,EPL_RAIL,EPL_ROAD,EPL_AIRPRT,SPL_EBM_THEME4,RPL_EBM_DOM4,EPL_IMPWTR,SPL_EBM_THEME5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,EPL_POV200,EPL_NOHSDP,EPL_UNEMP,EPL_RENTER,EPL_HOUBDN,EPL_UNINSUR,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,EPL_MOBILE,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,F_BPHIGH,F_ASTHMA,F_CANCER,F_MHLTH,F_DIABETES,F_HVM,RPL_HVM,E_OZONE,E_PM,E_DSLPM,E_TOTCR,E_NPL,E_TRI,E_TSD,E_RMP,E_COAL,E_LEAD,E_PARK,E_HOUAGE,E_WLKIND,E_RAIL,E_ROAD,E_AIRPRT,E_IMPWTR,EP_MINRTY,EP_POV200,EP_NOHSDP,EP_UNEMP,EP_RENTER,EP_HOUBDN,EP_UNINSUR,EP_NOINT,EP_AGE65,EP_AGE17,EP_DISABL,EP_LIMENG,EP_MOBILE,EP_GROUPQ,EP_BPHIGH,EP_ASTHMA,EP_CANCER,EP_MHLTH,EP_DIABETES,EPL_BPHIGH,EPL_ASTHMA,EPL_CANCER,EPL_DIABETES,EPL_MHLTH,SHAPE__Length,SHAPE__Area
62513,48,113,002702,1400000US48113002702,48113002702,27.02,Dallas,TX,Texas,"Census Tract 27.02, Dallas County, Texas","1,756.00",250.00,"1,896.00",2.30,0.91,1.50,0.84,0.71,0.64,0.78,0.67,2.79,0.79,0.00,0.59,0.00,0.82,0.00,0.00,1.41,0.65,0.39,0.60,0.24,1.23,0.21,0.79,0.22,0.00,1.01,0.49,0.00,0.00,0.00,6.44,0.58,0.96,0.96,0.96,0.83,0.89,0.92,0.83,0.38,0.96,0.97,5.77,0.93,0.43,0.40,0.77,0.75,2.35,0.78,0.62,0.00,0.62,0.35,9.70,0.92,1.00,1.00,0.00,1.00,1.00,4.00,0.80,2.33,9.54,0.67,34.98,0.00,30.72,0.00,20.46,0.00,0.00,100.00,70.10,13.33,100.00,5.64,0.00,0.00,97.00,50.83,25.80,11.70,23.00,22.93,23.60,44.60,14.50,20.70,16.90,4.60,2.30,0.00,53.50,12.50,5.80,17.70,21.30,0.99,0.93,0.31,0.98,0.84,"4,508.83","1,061,062.71"
62514,48,113,003101,1400000US48113003101,48113003101,31.01,Dallas,TX,Texas,"Census Tract 31.01, Dallas County, Texas","3,627.00",366.00,"21,160.00",1.00,0.35,1.00,0.52,0.79,0.65,0.93,0.75,3.12,0.88,0.00,0.86,0.00,0.96,0.00,0.00,1.82,0.81,0.39,0.57,0.00,0.96,0.07,0.79,0.77,0.00,1.56,0.78,0.00,0.00,0.00,7.45,0.79,0.60,0.60,0.60,0.25,0.02,0.57,1.00,0.60,0.75,0.15,3.34,0.46,0.02,0.03,0.06,0.25,0.35,0.01,0.00,0.72,0.72,0.42,5.01,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,9.57,1.02,37.22,0.00,100.00,0.00,89.97,0.00,0.00,100.00,67.65,18.67,100.00,100.00,0.00,0.00,39.20,18.07,0.70,5.40,57.80,29.39,12.10,6.80,3.20,6.70,5.50,0.30,0.00,1.30,18.30,7.50,3.20,10.30,3.90,0.02,0.03,0.02,0.01,0.11,"4,898.28","975,777.47"
62515,48,113,003400,1400000US48113003400,48113003400,34,Dallas,TX,Texas,"Census Tract 34, Dallas County, Texas","1,261.00",265.00,"1,959.00",2.74,1.00,1.94,1.00,0.75,0.64,0.82,0.70,2.91,0.82,0.00,0.86,0.95,0.95,0.00,0.00,2.76,0.95,0.39,0.65,0.09,1.13,0.14,0.79,0.74,0.00,1.52,0.76,0.47,0.47,0.47,8.79,0.94,0.89,0.89,0.89,0.98,0.77,0.91,0.96,0.95,0.97,0.97,6.52,1.00,0.29,0.38,0.90,0.61,2.19,0.66,0.55,0.91,1.46,0.86,11.06,0.99,1.00,1.00,0.00,1.00,1.00,4.00,0.80,2.67,9.55,0.74,35.80,0.00,100.00,13.65,81.47,0.00,0.00,100.00,73.68,15.17,100.00,98.59,0.00,43.61,86.60,75.46,17.90,11.60,37.00,51.86,25.20,46.10,12.20,20.40,20.70,2.30,1.20,5.60,46.20,11.40,5.50,16.70,18.10,0.96,0.85,0.26,0.95,0.77,"6,578.59","2,238,857.55"
62516,48,113,003700,1400000US48113003700,48113003700,37,Dallas,TX,Texas,"Census Tract 37, Dallas County, Texas","3,407.00",402.00,"1,444.00",2.51,0.96,1.71,0.93,0.71,0.64,0.79,0.67,2.81,0.79,0.00,0.69,0.00,0.66,0.00,0.00,1.36,0.63,0.39,0.75,0.13,1.27,0.23,0.79,0.71,0.00,1.50,0.74,0.13,0.13,0.13,7.06,0.71,0.91,0.91,0.91,0.94,0.95,0.67,0.80,0.91,0.98,0.99,6.25,0.98,0.40,0.92,0.74,0.96,3.02,0.99,0.55,0.79,1.34,0.80,11.53,1.00,1.00,1.00,0.00,1.00,1.00,4.00,0.80,2.33,9.54,0.69,35.14,0.00,60.45,0.00,1.19,0.00,0.00,100.00,81.62,14.67,100.00,95.71,0.00,0.16,90.40,65.00,34.00,6.30,21.50,46.73,29.30,57.30,14.10,30.80,16.20,20.10,1.20,2.10,54.10,13.00,6.50,18.20,23.50,0.99,0.95,0.45,0.99,0.87,"6,286.03","1,641,472.09"
62517,48,113,003800,1400000US48113003800,48113003800,38,Dallas,TX,Texas,"Census Tract 38, Dallas County, Texas","2,395.00",383.00,"1,632.00",2.46,0.95,1.66,0.91,0.68,0.63,0.79,0.67,2.77,0.78,0.00,0.67,0.00,0.87,0.00,0.00,1.54,0.70,0.39,0.72,0.36,1.46,0.41,0.79,0.67,0.00,1.45,0.71,0.12,0.12,0.12,7.34,0.77,0.98,0.98,0.98,0.86,0.89,0.89,0.77,0.78,0.98,0.98,6.14,0.97,0.43,0.30,0.86,0.79,2.38,0.80,0.00,0.00,0.00,0.00,9.50,0.89,1.00,1.00,0.00,1.00,1.00,4.00,0.80,2.00,9.53,0.68,35.08,0.00,52.46,0.00,37.37,0.00,0.00,100.00,79.05,11.67,100.00,88.12,0.00,0.06,98.70,54.03,26.10,10.40,20.10,36.97,29.60,47.40,14.60,19.20,19.10,5.80,0.00,0.00,55.30,13.00,6.60,17.80,22.70,1.00,0.95,0.47,0.99,0.85,"5,423.93","1,255,578.66"
62518,48,113,003901,1400000US48113003901,48113003901,39.01,Dallas,TX,Texas,"Census Tract 39.01, Dallas County, Texas","2,084.00",374.00,"1,330.00",2.16,0.87,1.36,0.76,0.68,0.63,0.73,0.65,2.70,0.76,0.00,0.36,0.00,0.69,0.00,0.00,1.06,0.55,0.39,0.41,0.18,0.97,0.08,0.79,0.55,0.00,1.34,0.64,0.00,0.00,0.00,6.06,0.49,0.98,0.98,0.98,0.97,0.94,0.83,0.87,0.77,0.93,0.98,6.29,0.99,0.17,0.98,0.37,0.51,2.03,0.52,0.00,0.00,0.00,0.00,9.30,0.87,1.00,1.00,0.00,1.00,1.00,4.00,0.80,2.00,9.53,0.61,34.72,0.00,2.48,0.00,2.48,0.00,0.00,100.00,53.84,14.08,100.00,61.72,0.00,0.00,98.40,71.11,31.20,8.90,25.60,36.62,20.20,49.10,9.70,35.80,10.60,1.40,0.00,0.00,52.70,14.10,5.70,20.80,22.60,0.99,0.98,0.29,0.99,0.96,"5,568.01","1,209,853.23"
62519,48,113,003902,1400000US48113003902,48113003902,39.02,Dallas,TX,Texas,"Census Tract 39.02, Dallas County, Texas","2,071.00",572.00,603.00,2.50,0.96,1.70,0.93,0.68,0.63,0.77,0.66,2.74,0.78,0.00,0.84,0.00,0.98,0.00,0.00,1.82,0.81,0.39,0.63,0.24,1.26,0.23,0.79,0.77,0.00,1.56,0.78,0.17,0.17,0.17,7.54,0.80,0.99,0.99,0.99,0.91,0.94,0.95,0.63,0.68,0.94,0.94,5.99,0.96,0.38,0.55,0.76,0.91,2.61,0.91,0.00,0.00,0.00,0.00,9.59,0.90,1.00,1.00,0.00,1.00,1.00,4.00,0.80,2.00,9.53,0.66,34.87,0.00,99.33,0.00,99.33,0.00,0.00,100.00,72.28,13.33,100.00,100.00,0.00,3.18,99.40,60.00,31.90,14.00,15.10,32.58,21.20,38.70,13.70,22.80,16.70,13.70,0.00,0.00,51.00,12.40,6.00,17.90,21.40,0.99,0.93,0.35,0.98,0.85,"5,049.00","1,179,410.77"
62520,48,113,004000,1400000US48113004000,48113004000,40,Dallas,TX,Texas,"Census Tract 40, Dallas County, Texas","1,185.00",247.00,"1,766.00",2.65,0.99,1.85,0.98,0.68,0.63,0.77,0.69,2.77,0.78,0.00,0.86,0.96,0.96,0.00,0.00,2.78,0.96,0.39,0.63,0.32,1.34,0.29,0.79,0.77,0.00,1.56,0.78,0.48,0.48,0.48,8.93,0.95,0.96,0.96,0.96,0.73,0.86,0.99,0.87,0.81,0.97,0.99,6.23,0.98,0.23,0.06,0.90,0.60,1.79,0.32,0.59,0.00,0.59,0.33,9.57,0.90,1.00,1.00,0.00,1.00,1.00,4.00,0.80,2.00,9.53,0.66,35.50,0.00,100.00,27.55,90.56,0.00,0.00,100.00,72.30,12.25,100.00,100.00,0.00,44.62,97.20,43.46,23.30,22.50,25.70,38.94,25.40,54.60,10.90,10.90,20.50,2.20,1.70,0.00,52.90,12.10,5.90,16.90,20.00,0.99,0.91,0.33,0.97,0.79,"9,347.72","3,057,977.64"
62521,48,113,004100,1400000US48113004100,48113004100,41,Dallas,TX,Texas,"Census Tract 41, Dallas County, Texas","1,407.00",245.00,"2,107.00",2.56,0.97,1.76,0.95,0.71,0.64,0.88,0.74,2.97,0.84,0.00,0.86,0.00,0.93,0.00,0.00,1.79,0.79,0.39,0.62,0.12,1.13,0.14,0.79,0.76,0.00,1.55,0.78,0.26,0.26,0.26,7.69,0.82,0.98,0.98,0.98,0.97,0.97,0.99,0.80,0.45,0.99,0.64,5.81,0.93,0.09,1.00,0.61,0.89,2.58,0.90,0.53,0.00,0.53,0.28,9.90,0.93,1.00,1.00,0.00,1.00,1.00,4.00,0.80,2.33,9.55,0.86,36.82,0.00,100.00,0.00,67.04,0.00,0.00,100.00,71.37,14.75,100.00,99.90,0.00,13.43,98.80,71.57,39.10,22.70,21.30,24.65,31.80,20.90,7.50,41.00,13.90,11.70,1.00,0.00,46.70,13.20,5.10,21.80,22.60,0.96,0.96,0.19,0.99,0.97,"6,832.30","2,179,497.90"
62522,48,113,004201,1400000US48113004201,48113004201,42.01,Dallas,TX,Texas,"Census Tract 42.01, Dallas County, Texas","4,047.00",460.00,"6,077.00",1.41,0.58,1.41,0.79,0.79,0.64,0.86,0.72,3.01,0.85,0.00,0.77,0.00,0.91,0.00,0.00,1.68,0.75,0.39,0.75,0.14,1.28,0.24,0.54,0.72,0.00,1.26,0.61,0.26,0.26,0.26,7.48,0.79,0.77,0.77,0.77,0.59,0.72,0.34,0.71,0.43,0.89,0.42,4.11,0.64,0.38,0.67,0.06,0.76,1.87,0.38,0.46,0.38,0.84,0.51,7.58,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,9.56,0.81,36.21,0.00,82.09,0.00,56.08,0.00,0.00,100.00,81.90,14.57,44.72,97.12,0.00,13.43,63.30,34.78,16.10,3.70,17.80,24.15,17.10,14.30,13.70,24.50,5.60,4.90,0.50,0.10,30.80,8.30,5.00,12.70,10.60,0.43,0.12,0.18,0.49,0.35,"6,918.09","2,573,667.37"
62523,48,113,004202,1400000US48113004202,48113004202,42.02,Dallas,TX,Texas,"Census Tract 42.02, Dallas County, Texas","2,138.00",181.00,"2,175.00",1.06,0.39,1.06,0.56,0.71,0.64,0.80,0.71,2.86,0.81,0.00,0.38,0.00,0.64,0.00,0.00,1.02,0.55,0.39,0.78,0.20,1.36,0.32,0.26,0.71,0.00,0.97,0.47,0.26,0.26,0.26,6.47,0.59,0.76,0.76,0.76,0.41,0.86,0.33,0.78,0.59,0.93,0.49,4.39,0.69,0.27,0.20,0.10,0.94,1.50,0.15,0.00,0.00,0.00,0.00,6.65,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.33,9.56,0.70,36.10,0.00,3.22,0.00,0.53,0.00,0.00,100.00,83.84,13.83,0.58,94.84,0.00,13.43,62.70,25.56,23.60,3.60,20.40,29.05,20.20,16.20,11.80,17.10,6.50,16.40,0.00,0.00,30.80,8.10,5.20,12.10,9.90,0.43,0.09,0.21,0.40,0.28,"5,514.94","1,284,986.24"
62524,48,113,004300,1400000US48113004300,48113004300,43,Dallas,TX,Texas,"Census Tract 43, Dallas County, Texas","3,052.00",304.00,"6,349.00",1.53,0.64,1.53,0.85,0.79,0.64,0.86,0.71,3.00,0.85,0.93,0.86,0.00,0.90,0.00,0.00,2.69,0.94,0.39,0.19,0.13,0.70,0.02,0.79,0.77,0.00,1.56,0.78,0.26,0.26,0.26,8.21,0.89,0.82,0.82,0.82,0.49,0.80,0.42,0.94,0.69,0.87,0.43,4.65,0.74,0.21,0.05,0.61,0.88,1.76,0.29,0.00,0.45,0.45,0.20,7.67,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,9.56,0.81,36.13,1.64,100.00,0.00,52.45,0.00,0.00,100.00,31.03,14.67,100.00,100.00,0.00,13.43,73.50,29.55,19.70,4.20,32.20,33.17,16.30,14.60,10.60,10.10,14.00,10.60,0.00,0.20,32.30,7.70,4.50,11.50,11.20,0.52,0.04,0.11,0.56,0.22,"9,643.55","4,595,440.88"
62525,48,113,004400,1400000US48113004400,48113004400,44,Dallas,TX,Texas,"Census Tract 44, Dallas County, Texas","3,536.00",248.00,"1,198.00",1.02,0.36,1.02,0.53,0.79,0.64,0.82,0.71,2.95,0.83,0.00,0.71,0.00,0.86,0.00,0.00,1.56,0.71,0.39,0.90,0.21,1.50,0.44,0.61,0.77,0.00,1.38,0.67,0.26,0.26,0.26,7.65,0.82,0.61,0.61,0.61,0.29,0.35,0.47,0.62,0.05,0.34,0.23,2.35,0.25,0.40,0.20,0.17,0.71,1.48,0.14,0.00,0.45,0.45,0.20,4.89,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,9.55,0.73,35.94,0.00,64.90,0.00,31.26,0.00,0.00,100.00,91.87,13.61,62.69,100.00,0.00,13.43,40.10,19.92,6.90,4.60,15.00,12.16,5.00,9.10,14.10,17.30,7.80,3.70,0.00,0.20,31.10,7.90,6.80,9.80,8.20,0.45,0.06,0.52,0.18,0.07,"7,617.74","2,099,126.83"
62526,48,113,004500,1400000US48113004500,48113004500,45,Dallas,TX,Texas,"Census Tract 45, Dallas County, Texas","6,134.00",893.00,"2,608.00",1.07,0.39,1.07,0.57,0.65,0.64,0.76,0.70,2.74,0.77,0.00,0.29,0.00,0.89,0.00,0.00,1.17,0.57,0.39,0.92,0.11,1.42,0.37,0.34,0.00,0.00,0.34,0.11,0.26,0.26,0.26,5.92,0.46,0.87,0.87,0.87,0.80,0.97,0.27,0.43,0.68,0.99,0.60,4.75,0.77,0.10,0.72,0.05,0.97,1.84,0.36,0.00,0.00,0.00,0.00,7.47,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,9.55,0.64,35.77,0.00,0.07,0.00,43.36,0.00,0.00,100.00,93.34,14.88,9.05,0.00,0.00,13.43,83.30,48.47,39.50,3.20,10.20,32.66,34.50,19.60,8.00,25.30,5.30,24.50,0.00,0.00,29.50,8.90,4.30,15.10,11.50,0.36,0.26,0.09,0.59,0.63,"7,849.78","1,995,694.72"
62527,48,113,004600,1400000US48113004600,48113004600,46,Dallas,TX,Texas,"Census Tract 46, Dallas County, Texas","2,008.00",213.00,"1,412.00",0.80,0.24,0.80,0.36,0.68,0.64,0.79,0.69,2.80,0.79,0.00,0.61,0.00,0.00,0.00,0.00,0.61,0.31,0.39,0.63,0.10,1.11,0.13,0.55,0.26,0.00,0.81,0.40,0.26,0.26,0.26,5.58,0.38,0.69,0.69,0.69,0.42,0.60,0.15,0.87,0.66,0.61,0.45,3.76,0.56,0.42,0.39,0.49,0.63,1.93,0.43,0.00,0.00,0.00,0.00,6.38,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,9.55,0.69,35.52,0.00,36.31,0.00,0.00,0.00,0.00,100.00,72.21,15.08,45.73,10.69,0.00,13.43,50.80,26.25,12.20,2.30,25.60,31.74,8.80,15.20,14.40,20.60,12.20,2.50,0.00,0.00,31.30,8.10,5.90,11.20,10.00,0.46,0.09,0.33,0.41,0.19,"3,683.73","713,104.49"
62528,48,113,004700,1400000US48113004700,48113004700,47,Dallas,TX,Texas,"Census Tract 47, Dallas County, Texas","3,247.00",404.00,"4,798.00",2.12,0.86,1.72,0.93,0.68,0.64,0.83,0.68,2.83,0.80,0.00,0.77,0.00,0.71,0.00,0.00,1.47,0.67,0.39,0.85,0.03,1.27,0.23,0.72,0.73,0.00,1.45,0.71,0.26,0.26,0.26,7.28,0.75,0.87,0.87,0.87,0.90,0.99,0.73,0.73,0.68,0.98,0.62,5.63,0.91,0.04,0.91,0.39,0.98,2.32,0.76,0.57,0.91,1.48,0.87,10.30,0.96,0.00,0.00,0.00,1.00,1.00,2.00,0.40,2.00,9.55,0.75,35.31,0.00,82.32,0.00,3.45,0.00,0.00,100.00,88.44,16.44,90.21,98.44,0.00,13.43,84.00,58.57,50.60,7.00,18.60,32.42,29.10,20.20,5.40,30.20,10.90,27.20,1.50,5.20,31.10,9.10,3.60,16.50,12.90,0.45,0.31,0.03,0.73,0.76,"4,115.79","963,708.09"
62529,48,113,004800,1400000US48113004800,48113004800,48,Dallas,TX,Texas,"Census Tract 48, Dallas County, Texas","2,575.00",326.00,"3,560.00",1.96,0.81,1.76,0.95,0.68,0.64,0.85,0.74,2.91,0.82,0.00,0.83,0.00,0.87,0.00,0.00,1.71,0.76,0.39,0.83,0.05,1.27,0.24,0.79,0.77,0.00,1.56,0.78,0.26,0.26,0.26,7.70,0.82,0.94,0.94,0.94,0.88,0.99,0.69,0.85,0.83,1.00,0.76,6.02,0.96,0.05,0.84,0.25,0.99,2.14,0.62,0.00,0.79,0.79,0.47,9.89,0.93,0.00,0.00,0.00,1.00,0.00,1.00,0.20,2.00,9.55,0.79,36.80,0.00,98.16,0.00,37.28,0.00,0.00,100.00,87.61,15.88,100.00,100.00,0.00,13.43,94.40,56.71,51.50,6.60,24.20,40.43,44.20,25.50,6.30,27.80,9.10,35.90,0.00,2.00,28.30,9.00,3.10,16.80,11.80,0.29,0.28,0.02,0.63,0.78,"5,946.28","1,676,233.38"
62530,48,113,004900,1400000US48113004900,48113004900,49,Dallas,TX,Texas,"Census Tract 49, Dallas County, Texas","4,089.00",620.00,"1,833.00",2.57,0.97,1.77,0.95,0.68,0.64,0.81,0.73,2.86,0.81,0.00,0.77,0.92,0.00,0.00,0.00,1.69,0.76,0.39,0.57,0.41,1.37,0.32,0.79,0.63,0.00,1.42,0.69,0.26,0.26,0.26,7.59,0.81,0.96,0.96,0.96,0.97,0.94,0.87,0.63,0.91,0.98,0.92,6.22,0.98,0.46,0.93,0.84,0.89,3.11,0.99,0.00,0.00,0.00,0.00,10.30,0.96,1.00,1.00,0.00,1.00,1.00,4.00,0.80,2.00,9.55,0.72,36.48,0.00,83.66,1.73,0.00,0.00,0.00,100.00,67.69,10.71,100.00,80.47,0.00,13.43,96.90,70.61,32.90,9.90,15.10,46.21,30.00,36.20,15.00,30.90,18.50,11.60,0.00,0.00,48.90,12.60,5.60,19.60,22.00,0.98,0.94,0.27,0.98,0.93,"6,241.05","2,191,417.49"
62531,48,113,005000,1400000US48113005000,48113005000,50,Dallas,TX,Texas,"Census Tract 50, Dallas County, Texas","3,845.00",513.00,"4,912.00",1.98,0.82,1.58,0.88,0.68,0.64,0.77,0.72,2.81,0.79,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.84,0.06,1.28,0.25,0.79,0.77,0.00,1.56,0.78,0.26,0.26,0.26,6.76,0.65,0.94,0.94,0.94,0.88,0.98,0.78,0.51,0.59,0.99,0.81,5.55,0.90,0.23,0.72,0.18,0.97,2.09,0.58,0.51,0.79,1.30,0.78,9.88,0.93,0.00,0.00,0.00,1.00,1.00,2.00,0.40,2.00,9.55,0.66,36.37,0.00,100.00,0.00,0.00,0.00,0.00,100.00,87.88,15.83,100.00,100.00,0.00,13.43,94.50,56.55,43.10,7.80,12.00,29.17,35.60,27.70,10.90,25.30,8.00,22.60,0.80,2.10,33.10,9.30,4.30,15.80,14.20,0.57,0.37,0.09,0.82,0.70,"4,981.62","1,419,062.94"
62532,48,113,005100,1400000US48113005100,48113005100,51,Dallas,TX,Texas,"Census Tract 51, Dallas County, Texas","2,774.00",311.00,"1,304.00",1.49,0.62,1.29,0.72,0.65,0.64,0.72,0.72,2.73,0.77,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.76,0.28,1.43,0.37,0.79,0.45,0.00,1.24,0.59,0.26,0.26,0.26,6.51,0.60,0.93,0.93,0.93,0.81,0.98,0.46,0.42,0.74,0.97,0.51,4.90,0.79,0.26,0.91,0.03,0.98,2.18,0.65,0.00,0.00,0.00,0.00,8.01,0.69,0.00,0.00,0.00,0.00,1.00,1.00,0.20,1.67,9.54,0.60,36.42,0.00,100.00,0.00,0.00,0.00,0.00,100.00,82.05,12.75,100.00,41.15,0.00,13.43,92.80,49.64,41.00,4.50,10.00,35.14,26.40,16.90,11.60,30.20,4.30,27.60,0.00,0.00,31.90,8.70,4.30,15.20,13.20,0.50,0.21,0.09,0.75,0.64,"5,056.82","990,000.11"
62533,48,113,005200,1400000US48113005200,48113005200,52,Dallas,TX,Texas,"Census Tract 52, Dallas County, Texas","4,806.00",652.00,"3,024.00",1.21,0.48,1.21,0.67,0.68,0.64,0.74,0.70,2.75,0.78,0.00,0.73,0.00,0.00,0.00,0.00,0.73,0.37,0.39,0.91,0.19,1.49,0.43,0.70,0.00,0.00,0.70,0.28,0.26,0.26,0.26,5.92,0.46,0.90,0.90,0.90,0.81,0.99,0.85,0.36,0.49,0.98,0.32,4.80,0.77,0.17,0.74,0.31,0.97,2.19,0.66,0.54,0.00,0.54,0.28,8.43,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,9.54,0.62,35.79,0.00,70.97,0.00,0.00,0.00,0.00,100.00,92.54,13.88,85.17,0.00,0.00,13.43,88.80,49.01,45.40,9.20,8.80,25.99,29.60,11.50,9.70,25.70,9.80,23.40,1.10,0.00,29.30,8.60,4.20,14.50,11.30,0.34,0.18,0.08,0.57,0.56,"4,887.93","1,468,423.08"
62534,48,113,005300,1400000US48113005300,48113005300,53,Dallas,TX,Texas,"Census Tract 53, Dallas County, Texas","7,024.00",614.00,"3,216.00",1.85,0.77,1.45,0.81,0.65,0.64,0.68,0.72,2.69,0.76,0.00,0.63,0.00,0.67,0.00,0.00,1.30,0.61,0.39,0.96,0.21,1.56,0.49,0.71,0.00,0.00,0.71,0.28,0.26,0.26,0.26,6.51,0.60,0.91,0.91,0.91,0.89,0.99,0.86,0.37,0.69,0.97,0.81,5.56,0.90,0.19,0.79,0.23,0.98,2.19,0.66,0.48,0.00,0.48,0.24,9.15,0.85,0.00,0.00,0.00,1.00,1.00,2.00,0.40,1.67,9.54,0.56,36.34,0.00,43.15,0.00,1.40,0.00,0.00,100.00,95.80,13.63,88.29,0.00,0.00,13.43,90.60,57.29,45.50,9.50,8.90,32.88,25.80,27.50,10.10,26.70,8.80,27.60,0.60,0.00,30.70,9.20,4.00,16.20,12.60,0.43,0.34,0.06,0.70,0.73,"7,026.85","2,099,546.85"
62535,48,113,005400,1400000US48113005400,48113005400,54,Dallas,TX,Texas,"Census Tract 54, Dallas County, Texas","6,041.00",654.00,"2,385.00",2.32,0.91,1.52,0.85,0.65,0.64,0.77,0.72,2.78,0.78,0.00,0.57,0.00,0.00,0.00,0.00,0.57,0.30,0.39,0.76,0.25,1.39,0.34,0.79,0.76,0.00,1.55,0.78,0.26,0.26,0.26,6.54,0.60,0.92,0.92,0.92,0.77,0.96,0.76,0.44,0.69,0.99,0.94,5.55,0.90,0.26,0.91,0.62,0.97,2.76,0.95,0.00,0.51,0.51,0.25,9.75,0.92,1.00,1.00,0.00,1.00,1.00,4.00,0.80,1.67,9.54,0.66,36.41,0.00,27.10,0.00,0.00,0.00,0.00,100.00,82.14,13.25,100.00,99.93,0.00,13.43,92.10,46.01,37.40,7.50,10.30,32.90,32.90,39.30,11.60,30.00,14.20,22.40,0.00,0.30,41.20,10.90,5.10,16.80,17.10,0.89,0.77,0.19,0.93,0.78,"7,963.42","2,651,068.20"
62536,48,113,005500,1400000US48113005500,48113005500,55,Dallas,TX,Texas,"Census Tract 55, Dallas County, Texas","4,507.00",575.00,"1,359.00",2.66,0.99,1.86,0.98,0.61,0.63,0.76,0.73,2.73,0.77,0.00,0.58,0.96,0.85,0.00,0.00,2.39,0.90,0.39,0.90,0.25,1.54,0.48,0.79,0.23,0.00,1.02,0.49,0.42,0.42,0.42,8.11,0.88,0.95,0.95,0.95,0.93,0.92,0.92,0.33,0.86,0.96,0.92,5.83,0.94,0.39,0.85,0.76,0.96,2.96,0.99,0.46,0.51,0.96,0.63,10.70,0.98,1.00,1.00,0.00,1.00,1.00,4.00,0.80,1.33,9.53,0.65,36.57,0.00,28.46,27.99,28.39,0.00,0.00,100.00,92.21,13.13,100.00,7.24,0.00,36.14,96.00,62.53,28.50,11.70,8.10,42.38,23.80,36.40,13.90,28.00,16.70,20.00,0.50,0.30,47.40,11.30,6.10,16.50,20.50,0.97,0.84,0.37,0.97,0.76,"9,754.86","2,701,272.63"
62537,48,113,005600,1400000US48113005600,48113005600,56,Dallas,TX,Texas,"Census Tract 56, Dallas County, Texas","7,566.00",870.00,"4,723.00",2.08,0.85,1.28,0.71,0.55,0.63,0.74,0.71,2.64,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.76,0.27,1.41,0.36,0.59,0.73,0.00,1.32,0.63,0.24,0.24,0.24,5.60,0.39,0.99,0.99,0.99,0.96,0.99,0.88,0.41,0.57,0.99,0.97,5.79,0.93,0.07,0.98,0.30,0.99,2.35,0.78,0.00,0.38,0.38,0.16,9.51,0.89,1.00,1.00,0.00,1.00,1.00,4.00,0.80,1.00,9.53,0.62,36.14,0.00,0.00,0.00,0.00,0.00,0.00,100.00,82.09,12.96,55.55,98.31,0.00,11.09,99.60,69.64,52.90,10.10,9.80,28.56,34.40,45.80,7.00,36.20,9.70,33.20,0.00,0.10,38.00,11.00,4.30,18.90,17.40,0.80,0.79,0.09,0.93,0.90,"8,277.67","2,464,391.81"
